,lane_ID,id,parent_id,time_sec,length_um,gfp_nb
921,20190515.0.10,62,57,32220,2.795,21271.92429582
922,20190515.0.10,62,57,32400,2.9328,22269.8415258
923,20190515.0.10,62,57,32580,3.1239000000000003,24192.20972322
924,20190515.0.10,62,57,32760,3.2045,26649.10672182
925,20190515.0.10,63,57,30420,1.97275,15763.26119148
926,20190515.0.10,63,57,30600,2.0865,15990.99212304
927,20190515.0.10,63,57,30780,2.1677500000000003,17143.11895428
928,20190515.0.10,63,57,30960,2.23665,17287.22952
929,20190515.0.10,63,57,31140,2.4108500000000004,18216.2603403
930,20190515.0.10,63,57,31320,2.49275,18851.56002378
931,20190515.0.10,63,57,31500,2.5571,18865.44449262
932,20190515.0.10,63,57,31680,2.6175500000000005,20344.66866036
933,20190515.0.10,63,57,31860,2.8060500000000004,22009.3540524
934,20190515.0.10,63,57,32040,2.9250000000000003,24380.870461200004
935,20190515.0.10,63,57,32220,2.9965,25298.8348041
936,20190515.0.10,63,57,32400,3.12,27033.77969028
937,20190515.0.10,63,57,32580,3.2565000000000004,29462.27605596
938,20190515.0.10,63,57,32760,3.4450000000000003,33840.77390892
939,20190515.0.10,63,57,32940,3.57955,35652.17012742
940,20190515.0.10,70,61,33840,1.755,13399.01528724
941,20190515.0.10,70,61,34020,1.82,14099.47796664
942,20190515.0.10,70,61,34200,1.91165,15050.264492340002
943,20190515.0.10,70,61,34380,1.9773000000000005,16066.03462398
944,20190515.0.10,70,61,34560,2.015,16460.62400268
945,20190515.0.10,70,61,34740,2.16645,18253.188904500003
946,20190515.0.10,70,61,34920,2.2971000000000004,18470.94262992
947,20190515.0.10,70,61,35100,2.3608,19261.84225878
948,20190515.0.10,70,61,35280,2.47,19430.28966978
949,20190515.0.10,70,61,35460,2.47,19935.60891102
950,20190515.0.10,70,61,35640,2.61495,21472.1473923
951,20190515.0.10,70,61,35820,2.73,22768.02779328
952,20190515.0.10,70,61,36000,2.8704,24626.5580385
953,20190515.0.10,70,61,36180,2.99,26094.315636180003
954,20190515.0.10,70,61,36360,3.12715,27672.65606358
955,20190515.0.10,70,61,36540,3.38195,30043.52075142
956,20190515.0.10,71,61,33840,1.885,14855.75954082
957,20190515.0.10,71,61,34020,1.95,16070.26107258
958,20190515.0.10,71,61,34200,2.0553000000000003,16757.98565958
959,20190515.0.10,71,61,34380,2.0553000000000003,17898.58045602
960,20190515.0.10,71,61,34560,2.13005,18053.815509180004
961,20190515.0.10,71,61,34740,2.1833500000000003,19684.64333088
962,20190515.0.10,71,61,34920,2.3595,20247.7368753
963,20190515.0.10,71,61,35100,2.3699000000000003,20803.03625862
